id,tokenized_comment_text
id,['comment_text']
003217c3eb469ba9,"['hi!', 'i am back again!', 'last warning!', 'stop undoing my edits or die!']"
006b94add72ed61c,"[""i think that your a fagget get a oife and burn in hell i hate you 'm sorry we cant have any more sex i'm running out of conndoms""]"
0199d6af27b715f3,"[""i'm also a sock puppet of this account...suprise!!"", '-sincerely,\n            the man that will track you down from the internet and kill you']"
02230885017a50c5,"['fuck you, smith.', 'please have me notified when you die.', 'i want to dance on your grave.']"
02c6e41e4b317ac3,"[""wouldn't be the first time bitch."", ""fuck you i'll find out where you live, sodomize your wife and then burn your house down."", 'fuck you you fucking queer.']"
02f77830b4d71c0f,"['whoever put a notices on my page.', 'i will kill u']"
039296aa294ee10b,"['shut up, you fat poop, or i will kick your ass!!', '!']"
0420f5f4e950566b,"[""demonte morton \n\nu bastard stop deletin' my shit u white trash cracker muthafucker."", 'fuck u u racist bitch.', 'i hope u die.']"
0512f33cf8807fa2,"['aaron swartz \n\nstop fucking reverting my goddamn edits!!!', 'i think aaron swartz is a dumb-ass, and he should have been\nkilled a long time ago.', 'i know where you live; i will kill you if you revert any more pages!!!!', '!']"
057894cf4738a5d8,"['you are a gay homo.', 'i hope you choke on your penis and die.', 'i am sending a big bleck guy to jizz in your face.']"
06611b9bcca6dfd3,"['go kill yourself \n\nyou should be ashamed of yourself.', 'twoofers like you are scumbags that deserve to die.', 'you anti-scientific assholes are destroying america.']"
069f7c2315031b40,"['important \n\nyou and your family shall burn!', 'you have been warned, if you do troll muzemikes talk page i will slaughter you in your sleep.', 'bye...']"
07cec10ca35fe5f8,['go to  die \n\nson of  bich']
07e0346aeda107bd,"[""what's wrong with you?"", 'go kill yourself, you vile creature!!!!!!!!!!', '!']"
082dbb113b6db6ab,"['mothafucka!', 'you son of a bitch, shup up!', 'otherwise i will kill you!']"
09eb7d87b8c24ca5,"['please stop.', 'if you continue to ignore our policies by introducing inappropriate pages to wikipedia, you will be blocked.']"
0a61094152de467f,"['last warning, mark!', 'anymore defiant arguments and i will be subduing you with my merciless wrath!']"
