id,tokenized_comment_text
id,['comment_text']
0002bcb3da6cb337,['cocksucker before you piss around on my work']
001810bf8c45bf5f,"['you are gay or antisemmitian?', 'archangel white tiger\n\nmeow!', 'greetingshhh!', 'uh, there are two ways, why you do erased my comment about ww2, that holocaust was brutally slaying of jews and not gays/gypsys/slavs/anyone...\n\n1 - if you are anti-semitian, than shave your head bald and go to the skinhead meetings!', '2 - if you doubt words of the bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!', ""3 - first and last warning, you fucking gay - i won't appreciate if any more nazi shwain would write in my page!"", ""i don't wish to talk to you anymore!"", 'beware of the dark side!']"
00190820581d90ce,"['fuck your filthy mother in the ass, dry!']"
001dc38a83d420cf,"['get fucked up.', 'get fuckeeed up.', 'got a drink that you cant put down??', '?/ get fuck up get fucked up.', ""i'm fucked up right now!""]"
0020e7119b96eeeb,['stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!']
0020fd96ed3b8c8b,"['=tony sidaway is obviously a fistfuckee.', 'he loves an arm up his ass.']"
0021fe88bc4da3e6,"[""my band page's deletion."", 'you thought i was gone.', ""deleting the comment i posted on your 'talk page' does not delete my feelings for your hasty decision to delete my page."", 'you, sir, are still a cock-sucking douche fuck.', 'sit back for a second and think about what your life has become.', '............ done?', ""that didn't take long did it?"", 'nope.', 'because, as i am most certainly aware, your life is a shitstorm of sitting in front of the computer masturbating to fictional creatures.', 'your attempts to get rid of me are mediocre at best.', 'you are constantly sucking the dick of failure.', ""you don't want a personal attack, huh?"", 'well, too bad, fuckcock mcdickerson.', ""you've got one."", 'from me.', 'you can go ahead and delete my profile from wikipedia.', ""i'll just make another one and come right back to 'syrthiss's talk page and insult the dick off of you."", 'how could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band.', 'does that make you happy?', ""fucking with people because you're an overweight, single, old man in a dead-end job."", 'did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you?', 'yes you did.', ""i don't make empty threats, so i won't be saying anything along the lines of 'i'll hurt you' or 'i'll eat the children from within your sister's womb', but i will say that you are a asshole, son-of-a-bitch, mother fucking cock sucker."", 'so, go eat some more food and drown your sorrows you premature ejaculating, bald headed fuck.', 'you should do something nice for yourself, maybe go grab a couple of horny goat weeds from your local convenience store and jack off for a little longer than three minutes tonight.', ""sincerely,\nan asshole that's better than you in every way.""]"
0028d62e8a5629aa,"['all of my edits are good.', ""cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem."", ""maybe one day you'll realise the damage you did to a noble project."", '201.215.187.159']"
00472b8e2d38d1ea,['a pair of jew-hating weiner nazi schmucks.']
006b94add72ed61c,"[""i think that your a fagget get a oife and burn in hell i hate you 'm sorry we cant have any more sex i'm running out of conndoms""]"
006e87872c8b370c,"[""you are a stupid fuck \n\nand your mother's cunt stinks""]"
007f1839ada915e6,"['your blatant pov pushing \n\nneither of you guys has made any contribution to this italian history article other than to shove your unhistorical unconstructive modern pov in my face.', 'this is a history article.', 'history.', 'have you heard of that?', 'this is the reason why so many people get pissed off about the pedantry and idiocy and triviality of wikipedia.', 'j*sus.', 'get a f*cking life.']"
0086998b34865f93,"['fuck you, block me, you faggot pussy!']"
008e0818dde894fb,"['kill all niggers.', 'i have hard, that others have said this.. should this be included?', 'that racists sometimes say these.']"
009371b0ef213487,"[""burn deck \n\nif that'd guy's burn deck is like what i think it is than he is in for a blrude awakening!!!"", 'leviathan motherfucker!!', '!']"
0097dd5c29bf7a15,['u r a tw@ fuck off u gay boy.u r smelly.fuck ur mum poopie']
00be7dcac98dc95d,['this user is such a worthless goddamn faggot fuck you faggot']
00c0b8ed05ed7833,"['fuck off\n\nyou are not an administrator.', ""you don't have the authority to tell me what to do.""]"
00c59720428c985a,"['""\n\n fuck you \n\n  fuck you award go fuck yourself   ""']"
00d1d2f4f247d472,"['matt hardy is so fucky!!!', ""''italic text[[media:example.ogg]]'''''matt hardy is so fucky!!"", '!']"
00dc0760994133ff,"[""fuck you \n\n-user:the bohemian shinobis yeah, that's right, bitch!"", 'you are all pieces of shit!']"
