id,tokenized_comment_text
id,['comment_text']
0002bcb3da6cb337,"['cocksucker', 'before', 'you', 'piss', 'around', 'on', 'my', 'work']"
001810bf8c45bf5f,"['you', 'are', 'gay', 'or', 'antisemmitian', '?', 'archangel', 'white', 'tiger', 'meow', '!', 'greetingshhh', '!', 'uh', ',', 'there', 'are', 'two', 'ways', ',', 'why', 'you', 'do', 'erased', 'my', 'comment', 'about', 'ww2', ',', 'that', 'holocaust', 'was', 'brutally', 'slaying', 'of', 'jews', 'and', 'not', 'gays/gypsys/slavs/anyone', '...', '1', '-', 'if', 'you', 'are', 'anti-semitian', ',', 'than', 'shave', 'your', 'head', 'bald', 'and', 'go', 'to', 'the', 'skinhead', 'meetings', '!', '2', '-', 'if', 'you', 'doubt', 'words', 'of', 'the', 'bible', ',', 'that', 'homosexuality', 'is', 'a', 'deadly', 'sin', ',', 'make', 'a', 'pentagram', 'tatoo', 'on', 'your', 'forehead', 'go', 'to', 'the', 'satanistic', 'masses', 'with', 'your', 'gay', 'pals', '!', '3', '-', 'first', 'and', 'last', 'warning', ',', 'you', 'fucking', 'gay', '-', 'i', 'wo', ""n't"", 'appreciate', 'if', 'any', 'more', 'nazi', 'shwain', 'would', 'write', 'in', 'my', 'page', '!', 'i', 'do', ""n't"", 'wish', 'to', 'talk', 'to', 'you', 'anymore', '!', 'beware', 'of', 'the', 'dark', 'side', '!']"
00190820581d90ce,"['fuck', 'your', 'filthy', 'mother', 'in', 'the', 'ass', ',', 'dry', '!']"
0020e7119b96eeeb,"['stupid', 'peace', 'of', 'shit', 'stop', 'deleting', 'my', 'stuff', 'asshole', 'go', 'die', 'and', 'fall', 'in', 'a', 'hole', 'go', 'to', 'hell', '!']"
0020fd96ed3b8c8b,"['=tony', 'sidaway', 'is', 'obviously', 'a', 'fistfuckee', '.', 'he', 'loves', 'an', 'arm', 'up', 'his', 'ass', '.']"
0028d62e8a5629aa,"['all', 'of', 'my', 'edits', 'are', 'good', '.', 'cunts', 'like', 'you', 'who', 'revert', 'good', 'edits', 'because', 'you', ""'re"", 'too', 'stupid', 'to', 'understand', 'how', 'to', 'write', 'well', ',', 'and', 'then', 'revert', 'other', 'edits', 'just', 'because', 'you', ""'ve"", 'decided', 'to', 'bear', 'a', 'playground', 'grudge', ',', 'are', 'the', 'problem', '.', 'maybe', 'one', 'day', 'you', ""'ll"", 'realise', 'the', 'damage', 'you', 'did', 'to', 'a', 'noble', 'project', '.', '201.215.187.159']"
0036621e4c7e10b5,"['would', 'you', 'both', 'shut', 'up', ',', 'you', 'do', ""n't"", 'run', 'wikipedia', ',', 'especially', 'a', 'stupid', 'kid', '.']"
00472b8e2d38d1ea,"['a', 'pair', 'of', 'jew-hating', 'weiner', 'nazi', 'schmucks', '.']"
00686325bcc16080,"['you', 'should', 'be', 'fired', ',', 'you', ""'re"", 'a', 'moronic', 'wimp', 'who', 'is', 'too', 'lazy', 'to', 'do', 'research', '.', 'it', 'makes', 'me', 'sick', 'that', 'people', 'like', 'you', 'exist', 'in', 'this', 'world', '.']"
006b94add72ed61c,"['i', 'think', 'that', 'your', 'a', 'fagget', 'get', 'a', 'oife', 'and', 'burn', 'in', 'hell', 'i', 'hate', 'you', ""'m"", 'sorry', 'we', 'cant', 'have', 'any', 'more', 'sex', 'i', ""'m"", 'running', 'out', 'of', 'conndoms']"
