id,tokenized_comment_text
id,['comment_text']
0002bcb3da6cb337,['cocksucker before you piss around on my work']
0020e7119b96eeeb,['stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!']
006e87872c8b370c,"[""you are a stupid fuck \n\nand your mother's cunt stinks""]"
01208d2b76624130,"['hi \n\nim a fucking bitch.', '50.180.208.181']"
018663f910e0bfe6,['what a motherfucking piece of crap those fuckheads for blocking us!']
020316a0de9e0406,"['""you know, i was thinking...\n\nnobody really attacked me before i revealed my age here.', 'after i announced that i was 14, i was subject to a constant storm of harassment and abuse.', ""the same thing goes for when i was on the sandbox when i was 11.  before people knew my age, they didn't care."", 'after i told them my age, they hated me.', 'it\'s just so amusing how the idiot soapboxers think of teenagers as being responsible for the """"decline"""" of the soapbox (like it was ever any good to begin with).', 'this is funny, because the adults are the dumbest people here.', 'mauricio, chuppah, redneckgirl, pinky, scooby, gg, foreverlosttinkerbell, greenrabbit, starrocketsinflight, bree-robinson, enigma-72, cocainenightmares, tokyodome, chad_ocho-cinco, steve lake...\n\n...all adults.', 'the teenage posters here are typically the smartest ones.', ""let's see... g-dawg, head_banging_brunette, classicage, metropolis (even though he's a bipolar weirdo), chrisscript, just to name a few."", 'all i ever see adults posting is """"rate my poo!!1!', '"""", """"my ballz smell funny"""", """"whoz hawter: me or ur mom???//?/?', '"""", """"i like to rape little girls"""", and """"hey guyz look at me im an attention whore!!!!11!!1!""""', 'the adult posters here are immature, moronic, savage bullies with the mental capacity of a retarded 4-year-old.', 'whereas, most of the teenagers here are thoughtful, intelligent, mature, and often profound.', ""but they're subject to constant schoolyard bullying by the idiot adult posters who think they're somehow superior because they were born (and dropped on their head) earlier."", 'soapbox logic never fails to amuse me...\n""']"
0207005a6576eafc,"[""here's an idea \n\ngo fuck yourself, cumshitter.""]"
0209cdf3131130ed,"['""  will my motherfucking safety be guaranteed????', 'i fucking hope so!!!', ""i'm bringing my own fuckin' weapons!!"", 'pay me when i get back motherfuckers!!!', 'oh yeah i\'ve got a joke...a family (husband, wife, son, daughter, dog) walks into an agent\'s office and tells him that they\'ve got a great vaudeville routine...he says """"we don\'t hire kiddy acts"""" and they say """"but we\'re really good!""""', 'and so the agent says """"fine, let me see what you\'ve got, but if you suck i\'m throwing you out""""...so the family gets ready...the daughter hits the cd player and circus music begins playing, the father jump kicks the son in the head and stoms his face in the ground until it\'s a bloody pulp, then proceeds to jerk off and cum all over his shattered skull.', 'meanwhile the mother begins violently finger fucking the daughter as the dog fucks the mother in the ass hole.', ""this is the point when the father takes the leftover brain matter from the son's head and shoves it into the mother's pussy, then begins fucking her pussy while simultaneously sticking his finger down the daughter's throat until she vomits all over them both."", ""then the dog bites the mother's hand off as she's finger fucking the daughter, leaving her hand in the daughter's pussy as blood squirts all over the place...the father takes blood from the ground, smears it all over the mother's chest, bends over, and begins shitting all over the open wound where her hand used to be before the dog bit it off."", ""they take the dog and shove it in a microwave, heating it up until it explodes, then take the dog remains, mix it with the father's shit, the son's head wound, and the father's cum, and shove it into the daughter's mouth."", ""then the father rips the son's dick off and fucks the daughter with it, as the mother locate's the son's testicles, breaks them open, and drinks the sperm that comes out."", 'then the family lines up and says """"ta da!', '""""...there\'s silence from the agent, until he finally says """"i love it!', 'what do you call that?', '""""...and the family says """"we call it...the aristocrats!""""""']"
026bd33490542b2e,"['you gay motherfucker i know where you live,i am going to sand your face off,then i am to going to beat you to a pulp,you chicken shagger.']"
02c6e41e4b317ac3,"[""wouldn't be the first time bitch."", ""fuck you i'll find out where you live, sodomize your wife and then burn your house down."", 'fuck you you fucking queer.']"
03088aacc4600323,"[""fuck you faggot, i don't care if i get blocked, as long as everyone knows you are a dumb cunt.""]"
030ed098f411f8c7,"['cavorting with heretics \n\nfuck heretics!!', '!']"
034beefa865b5381,"['i have a dick, its bigger than yours!', 'hahaha']"
03687823a14a8454,"['fuck you people.', 'the information of that can be found here []']"
039296aa294ee10b,"['shut up, you fat poop, or i will kick your ass!!', '!']"
03ebb03deb920216,"['to blanchardb \n\nyou dumb motherfucker i am going to sue the shit out of you.', 'watch your back.']"
04371246307ecbd1,['fuck you and your small penis']
0470a205e8ecf59b,"['closedmouth is a dick-fuck \n\nthis guy is a jackass who sux cock 4 a fuckin job y the fuck does the trans do it????', '?cuz its into tht kinda shit >:(']"
